system,mode,n_runs,episodes_per_run_mean,TP_mean,TP_std,FP_mean,FP_std,TN_mean,TN_std,FN_mean,FN_std,precision_mean,precision_std,precision_ci95_lo,precision_ci95_hi,recall_mean,recall_std,recall_ci95_lo,recall_ci95_hi,fpr_mean,fpr_std,fpr_ci95_lo,fpr_ci95_hi
baseline,containment,10,40.0000,26.0000,2.3570,0.7000,0.6749,13.0000,2.5820,0.3000,0.6749,0.9743,0.0243,0.9600,0.9892,0.9892,0.0243,0.9714,1.0000,0.0527,0.0521,0.0213,0.0853
blue,containment,10,40.0000,26.3000,2.4518,0.0000,0.0000,13.7000,2.4518,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000
baseline,detection,10,40.0000,26.0000,2.3570,0.7000,0.6749,13.0000,2.5820,0.3000,0.6749,0.9743,0.0243,0.9600,0.9892,0.9892,0.0243,0.9714,1.0000,0.0527,0.0521,0.0213,0.0853
blue,detection,10,40.0000,26.3000,2.4518,0.0000,0.0000,13.7000,2.4518,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000
