system,n_runs,episodes_per_run_mean,FP_mean,FP_std,FN_mean,FN_std,precision_containment_mean,precision_containment_std,recall_containment_mean,recall_containment_std,recall_detection_mean,recall_detection_std,action_rate_total_mean,action_rate_total_std,action_rate_attack_mean,action_rate_attack_std,action_rate_benign_mean,action_rate_benign_std,attack_no_block_rate_mean,attack_no_block_rate_std,block_count_mean,block_count_std,escalate_count_mean,escalate_count_std,no_block_count_mean,no_block_count_std
baseline,10,40.0000,0.7000,0.6749,0.3000,0.6749,0.9743,0.0243,0.9892,0.0243,0.9892,0.0243,0.6675,0.0624,0.9892,0.0243,0.0527,0.0521,0.0108,0.0243,26.7000,2.4967,0.0000,0.0000,13.3000,2.4967
blue,10,40.0000,0.0000,0.0000,1.4000,4.4272,1.0000,0.0000,0.9481,0.1640,0.9481,0.1640,0.6225,0.1210,0.9481,0.1640,0.0000,0.0000,0.0000,0.0000,24.9000,4.8408,0.0000,0.0000,13.1000,3.2472
