system,n_runs,mttd_mean,mttd_std,mttd_ci95_lo,mttd_ci95_hi,detected_episodes_mean,detected_episodes_std,negative_mttd_mean,negative_mttd_std
baseline,10,6.2894,1.2834,5.5887,6.9831,26.3000,2.4518,1.4000,1.0750
blue,10,13.2493,3.2729,11.2132,15.1685,24.9000,4.8408,0.3000,0.6749
