system,n_runs,episodes_per_run_mean,FP_mean,FP_std,FN_mean,FN_std,precision_containment_mean,precision_containment_std,recall_containment_mean,recall_containment_std,recall_detection_mean,recall_detection_std,action_rate_total_mean,action_rate_total_std,action_rate_attack_mean,action_rate_attack_std,action_rate_benign_mean,action_rate_benign_std,attack_no_block_rate_mean,attack_no_block_rate_std,block_count_mean,block_count_std,escalate_count_mean,escalate_count_std,no_block_count_mean,no_block_count_std
baseline,10,40.0000,1.2000,1.0328,0.2000,0.6325,0.9590,0.0342,0.9923,0.0243,0.9923,0.0243,0.7350,0.0801,0.9923,0.0243,0.1079,0.1112,0.0077,0.0243,29.4000,3.2042,0.0000,0.0000,10.6000,3.2042
blue,10,40.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.7100,0.0756,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.4000,3.0258,0.0000,0.0000,11.6000,3.0258
