system,n_runs,mttd_mean,mttd_std,mttd_ci95_lo,mttd_ci95_hi,detected_episodes_mean,detected_episodes_std,negative_mttd_mean,negative_mttd_std
baseline,10,5.9607,1.2170,5.2229,6.6929,24.8000,1.7512,1.1000,0.9944
blue,10,14.7127,2.2093,13.4523,15.9161,24.8000,1.7512,0.1000,0.3162
