system,mode,n_runs,episodes_per_run_mean,TP_mean,TP_std,FP_mean,FP_std,TN_mean,TN_std,FN_mean,FN_std,precision_mean,precision_std,precision_ci95_lo,precision_ci95_hi,recall_mean,recall_std,recall_ci95_lo,recall_ci95_hi,fpr_mean,fpr_std,fpr_ci95_lo,fpr_ci95_hi
baseline,containment,10,40.0000,24.4000,1.8974,1.1000,0.8756,14.1000,1.7920,0.4000,0.8433,0.9574,0.0347,0.9367,0.9773,0.9840,0.0338,0.9596,1.0000,0.0719,0.0556,0.0388,0.1047
blue,containment,10,40.0000,24.8000,1.7512,0.0000,0.0000,15.2000,1.7512,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000
baseline,detection,10,40.0000,24.4000,1.8974,1.1000,0.8756,14.1000,1.7920,0.4000,0.8433,0.9574,0.0347,0.9367,0.9773,0.9840,0.0338,0.9596,1.0000,0.0719,0.0556,0.0388,0.1047
blue,detection,10,40.0000,24.8000,1.7512,0.0000,0.0000,15.2000,1.7512,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000
