system,n_runs,decisions_with_timing_mean,decisions_with_timing_std,pipeline_duration_ms_mean,pipeline_duration_ms_std,observe_ms_mean,observe_ms_std,normalize_schema_ms_mean,normalize_schema_ms_std,enrich_ms_mean,enrich_ms_std,retrieve_memory_ms_mean,retrieve_memory_ms_std,correlate_ms_mean,correlate_ms_std,decide_ms_mean,decide_ms_std,act_ms_mean,act_ms_std,log_ms_mean,log_ms_std
baseline,10,0.0000,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000
blue,10,40.0000,0.0000,366.7215,351.9818,13.9299,0.5669,203.3446,347.1846,0.0019,0.0001,133.3817,5.9466,4.6294,0.4710,0.0085,0.0004,0.0844,0.0077,10.4075,1.4237
