system,n_runs,episodes_per_run_mean,FP_mean,FP_std,FN_mean,FN_std,precision_containment_mean,precision_containment_std,recall_containment_mean,recall_containment_std,recall_detection_mean,recall_detection_std,action_rate_total_mean,action_rate_total_std,action_rate_attack_mean,action_rate_attack_std,action_rate_benign_mean,action_rate_benign_std,attack_no_block_rate_mean,attack_no_block_rate_std,block_count_mean,block_count_std,escalate_count_mean,escalate_count_std,no_block_count_mean,no_block_count_std
baseline,10,40.0000,1.1000,0.8756,0.4000,0.8433,0.9574,0.0347,0.9840,0.0338,0.9840,0.0338,0.6375,0.0489,0.9840,0.0338,0.0719,0.0556,0.0160,0.0338,25.5000,1.9579,0.0000,0.0000,14.5000,1.9579
blue,10,40.0000,0.0000,0.0000,0.2000,0.4216,1.0000,0.0000,0.9913,0.0184,1.0000,0.0000,0.6200,0.0438,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.6000,2.0111,0.2000,0.4216,15.2000,1.7512
