system,n_runs,mttd_mean,mttd_std,mttd_ci95_lo,mttd_ci95_hi,detected_episodes_mean,detected_episodes_std,negative_mttd_mean,negative_mttd_std
baseline,10,6.3468,1.1995,5.5779,6.9689,28.4000,3.0258,0.4000,0.6992
blue,10,14.1417,1.8582,13.1120,15.2453,28.4000,3.0258,0.1000,0.3162
